VARIABLES="X" "Y" "Vx" "Vy" 
Zone T = "single_2412_2412_ Streamlines" 
I=35, J=1, K=1 
1.231544, -0.342300, 0.979159, -0.003370 
1.244966, -0.342300, 0.979457, -0.003844 
1.258389, -0.342300, 0.979766, -0.004291 
1.271812, -0.342300, 0.980082, -0.004712 
1.285235, -0.342300, 0.980404, -0.005107 
1.298658, -0.342300, 0.980730, -0.005478 
1.312081, -0.342300, 0.981060, -0.005825 
1.325503, -0.342300, 0.981391, -0.006150 
1.338926, -0.342300, 0.981723, -0.006453 
1.352349, -0.342300, 0.982054, -0.006735 
1.365772, -0.342300, 0.982384, -0.006998 
1.379195, -0.342300, 0.982712, -0.007243 
1.392617, -0.342300, 0.983037, -0.007469 
1.406040, -0.342300, 0.983358, -0.007679 
1.419463, -0.342300, 0.983676, -0.007874 
1.432886, -0.342300, 0.983990, -0.008053 
1.446309, -0.342300, 0.984298, -0.008219 
1.459732, -0.342300, 0.984602, -0.008371 
1.473154, -0.342300, 0.984901, -0.008511 
1.486577, -0.342300, 0.985195, -0.008639 
1.500000, -0.342300, 0.985483, -0.008756 
-0.500000, -0.337460, 0.979927, 0.003609 
-0.486577, -0.337460, 0.979590, 0.003225 
-0.473154, -0.337460, 0.979254, 0.002816 
-0.459732, -0.337460, 0.978920, 0.002379 
-0.446309, -0.337460, 0.978589, 0.001914 
-0.432886, -0.337460, 0.978264, 0.001419 
-0.419463, -0.337460, 0.977944, 0.000893 
-0.406040, -0.337460, 0.977634, 0.000333 
-0.392617, -0.337460, 0.977334, -0.000261 
-0.379195, -0.337460, 0.977048, -0.000891 
-0.365772, -0.337460, 0.976778, -0.001558 
-0.352349, -0.337460, 0.976527, -0.002264 
-0.338926, -0.337460, 0.976299, -0.003009 
-0.325503, -0.337460, 0.976098, -0.003795 
-0.312081, -0.337460, 0.975927, -0.004622 
-0.298658, -0.337460, 0.975793, -0.005491 
-0.285235, -0.337460, 0.975698, -0.006402 
-0.271812, -0.337460, 0.975650, -0.007354 
-0.258389, -0.337460, 0.975653, -0.008346 
-0.244966, -0.337460, 0.975714, -0.009377 
-0.231544, -0.337460, 0.975839, -0.010445 
-0.218121, -0.337460, 0.976035, -0.011545 
-0.204698, -0.337460, 0.976308, -0.012675 
-0.191275, -0.337460, 0.976666, -0.013828 
-0.177852, -0.337460, 0.977114, -0.014998 
-0.164430, -0.337460, 0.977659, -0.016179 
-0.151007, -0.337460, 0.978307, -0.017360 
-0.137584, -0.337460, 0.979063, -0.018533 
-0.124161, -0.337460, 0.979930, -0.019685 
-0.110738, -0.337460, 0.980911, -0.020804 
-0.097315, -0.337460, 0.982007, -0.021878 
-0.083893, -0.337460, 0.983218, -0.022891 
-0.070470, -0.337460, 0.984540, -0.023830 
-0.057047, -0.337460, 0.985968, -0.024680 
-0.043624, -0.337460, 0.987495, -0.025427 
-0.030201, -0.337460, 0.989112, -0.026057 
-0.016779, -0.337460, 0.990806, -0.026558 
-0.003356, -0.337460, 0.992564, -0.026920 
0.010067, -0.337460, 0.994370, -0.027133 
0.023490, -0.337460, 0.996208, -0.027191 
0.036913, -0.337460, 0.998059, -0.027090 
0.050336, -0.337460, 0.999906, -0.026829 
0.063758, -0.337460, 1.001731, -0.026410 
0.077181, -0.337460, 1.003516, -0.025837 
0.090604, -0.337460, 1.005244, -0.025116 
0.104027, -0.337460, 1.006901, -0.024255 
0.117450, -0.337460, 1.008474, -0.023265 
0.130872, -0.337460, 1.009950, -0.022158 
0.144295, -0.337460, 1.011320, -0.020946 
0.157718, -0.337460, 1.012578, -0.019643 
0.171141, -0.337460, 1.013717, -0.018261 
0.184564, -0.337460, 1.014734, -0.016816 
0.197987, -0.337460, 1.015627, -0.015319 
0.211409, -0.337460, 1.016396, -0.013783 
0.224832, -0.337460, 1.017043, -0.012221 
0.238255, -0.337460, 1.017569, -0.010643 
0.251678, -0.337460, 1.017977, -0.009060 
0.265101, -0.337460, 1.018273, -0.007480 
0.278523, -0.337460, 1.018460, -0.005913 
0.291946, -0.337460, 1.018543, -0.004364 
0.305369, -0.337460, 1.018529, -0.002841 
0.318792, -0.337460, 1.018421, -0.001349 
0.332215, -0.337460, 1.018227, 0.000107 
0.345638, -0.337460, 1.017951, 0.001524 
0.359060, -0.337460, 1.017599, 0.002898 
0.372483, -0.337460, 1.017175, 0.004226 
0.385906, -0.337460, 1.016686, 0.005507 
0.399329, -0.337460, 1.016135, 0.006738 
0.412752, -0.337460, 1.015528, 0.007917 
0.426174, -0.337460, 1.014868, 0.009045 
0.439597, -0.337460, 1.014159, 0.010119 
0.453020, -0.337460, 1.013406, 0.011140 
0.466443, -0.337460, 1.012613, 0.012106 
0.479866, -0.337460, 1.011782, 0.013017 
0.493289, -0.337460, 1.010917, 0.013874 
0.506711, -0.337460, 1.010021, 0.014676 
0.520134, -0.337460, 1.009098, 0.015422 
0.533557, -0.337460, 1.008149, 0.016114 
0.546980, -0.337460, 1.007178, 0.016751 
0.560403, -0.337460, 1.006188, 0.017333 
0.573826, -0.337460, 1.005180, 0.017860 
0.587248, -0.337460, 1.004157, 0.018333 
0.600671, -0.337460, 1.003122, 0.018752 
0.614094, -0.337460, 1.002076, 0.019117 
0.627517, -0.337460, 1.001023, 0.019428 
0.640940, -0.337460, 0.999964, 0.019686 
0.654362, -0.337460, 0.998901, 0.019890 
0.667785, -0.337460, 0.997837, 0.020041 
0.681208, -0.337460, 0.996774, 0.020139 
0.694631, -0.337460, 0.995713, 0.020184 
0.708054, -0.337460, 0.994657, 0.020178 
0.721477, -0.337460, 0.993608, 0.020119 
0.734899, -0.337460, 0.992569, 0.020008 
0.748322, -0.337460, 0.991542, 0.019846 
0.761745, -0.337460, 0.990529, 0.019633 
0.775168, -0.337460, 0.989532, 0.019369 
0.788591, -0.337460, 0.988555, 0.019055 
0.802013, -0.337460, 0.987600, 0.018693 
0.815436, -0.337460, 0.986670, 0.018282 
0.828859, -0.337460, 0.985768, 0.017824 
0.842282, -0.337460, 0.984896, 0.017321 
0.855705, -0.337460, 0.984057, 0.016774 
0.869128, -0.337460, 0.983255, 0.016185 
0.882550, -0.337460, 0.982491, 0.015556 
0.895973, -0.337460, 0.981770, 0.014889 
0.909396, -0.337460, 0.981093, 0.014189 
0.922819, -0.337460, 0.980462, 0.013457 
0.936242, -0.337460, 0.979881, 0.012697 
0.949664, -0.337460, 0.979350, 0.011913 
0.963087, -0.337460, 0.978872, 0.011108 
0.976510, -0.337460, 0.978447, 0.010288 
0.989933, -0.337460, 0.978075, 0.009456 
1.003356, -0.337460, 0.977758, 0.008616 
1.016779, -0.337460, 0.977495, 0.007774 
1.030201, -0.337460, 0.977284, 0.006932 
1.043624, -0.337460, 0.977126, 0.006096 
1.057047, -0.337460, 0.977018, 0.005269 
1.070470, -0.337460, 0.976958, 0.004455 
1.083893, -0.337460, 0.976943, 0.003657 
1.097315, -0.337460, 0.976973, 0.002878 
1.110738, -0.337460, 0.977042, 0.002120 
1.124161, -0.337460, 0.977149, 0.001387 
1.137584, -0.337460, 0.977290, 0.000679 
1.151007, -0.337460, 0.977462, -0.000002 
1.164430, -0.337460, 0.977663, -0.000654 
1.177852, -0.337460, 0.977888, -0.001277 
1.191275, -0.337460, 0.978135, -0.001871 
1.204698, -0.337460, 0.978402, -0.002436 
1.218121, -0.337460, 0.978685, -0.002971 
1.231544, -0.337460, 0.978982, -0.003478 
1.244966, -0.337460, 0.979291, -0.003956 
1.258389, -0.337460, 0.979609, -0.004406 
1.271812, -0.337460, 0.979934, -0.004829 
1.285235, -0.337460, 0.980265, -0.005226 
1.298658, -0.337460, 0.980601, -0.005598 
1.312081, -0.337460, 0.980939, -0.005946 
1.325503, -0.337460, 0.981278, -0.006271 
1.338926, -0.337460, 0.981617, -0.006574 
1.352349, -0.337460, 0.981956, -0.006856 
1.365772, -0.337460, 0.982293, -0.007118 
1.379195, -0.337460, 0.982627, -0.007361 
1.392617, -0.337460, 0.982958, -0.007587 
1.406040, -0.337460, 0.983286, -0.007796 
1.419463, -0.337460, 0.983609, -0.007988 
1.432886, -0.337460, 0.983928, -0.008166 
1.446309, -0.337460, 0.984241, -0.008330 
1.459732, -0.337460, 0.984550, -0.008480 
1.473154, -0.337460, 0.984853, -0.008618 
1.486577, -0.337460, 0.985151, -0.008745 
1.500000, -0.337460, 0.985443, -0.008860 
-0.500000, -0.332621, 0.979793, 0.003732 
-0.486577, -0.332621, 0.979447, 0.003348 
-0.473154, -0.332621, 0.979101, 0.002939 
-0.459732, -0.332621, 0.978757, 0.002501 
-0.446309, -0.332621, 0.978416, 0.002035 
-0.432886, -0.332621, 0.978079, 0.001538 
-0.419463, -0.332621, 0.977748, 0.001008 
-0.406040, -0.332621, 0.977425, 0.000445 
-0.392617, -0.332621, 0.977113, -0.000153 
